row_id,source,source_job_id,url,company_name,title_clean,pred_normalized_title,pred_role_family,pred_location_type,pred_city,pred_country,location_clean,evidence_snippet,target_normalized_title,target_role_family,target_location_type,target_country,qa_status,qa_notes
11,greenhouse,7473994,https://job-boards.greenhouse.io/omadahealth/jobs/7473994,omadahealth,"Senior Analyst, Strategic Finance",financial_analyst,finance,remote,,US,"Remote, USA","In this position, your focus will extend beyond simply reporting the numbers – you will be uncovering the “why” behind them. | You will leverage large datasets to analyze member engagement trends, build robust revenue forecasts, and drive the planning and budgeting process.",,,,,,
12,greenhouse,7543805,https://job-boards.greenhouse.io/omadahealth/jobs/7543805,omadahealth,Senior Commercial Counsel,legal_counsel,legal,remote,,US,"Remote, USA","We are hiring two roles at the same level: one focused on revenue‑driving transactions with Omada’s customers and partners (Customer focus) and one focused on vendor agreements supporting Omada’s sourcing, operations, technology, and other internal procurement initiatives (Procurement focus). | These positions offer a unique opportunity to significantly impact our business operations by providing practical, business‑",,,,,,
13,greenhouse,7371153,https://job-boards.greenhouse.io/omadahealth/jobs/7371153,omadahealth,"Senior Data Analyst, B2B Analytics",data_analyst,data_analytics,remote,,US,"Remote, USA","Omada Health is on a mission to inspire and engage people in lifelong health, one step at a time.&nbsp;&nbsp; Job overview The B2B analytics team is responsible for developing our portfolio of reports and data insights that support our internal teams and customers seeking to improve the health of our members. | Using data spanning app engagement, clinical outcomes, behavioral health indicators, and claims, you will p",,,,,,
14,greenhouse,7351285,https://job-boards.greenhouse.io/omadahealth/jobs/7351285,omadahealth,Senior Director Client Reporting and Analytics,analytics_director,data_analytics,remote,,US,"Remote, USA","The Opportunity We are seeking a Senior Director, Customer Reporting &amp; Insights to define, scale, and elevate Omada’s customer-facing analytics and reporting function. | This leader will set the strategic vision for how Omada demonstrates measurable value to its customers—translating data into insight, insight into story, and story into renewed partnership and growth.",,,,,,
15,greenhouse,7396423,https://job-boards.greenhouse.io/omadahealth/jobs/7396423,omadahealth,Senior Employment Counsel,legal_counsel,legal,remote,,US,"Remote, USA","Omada Health is on a mission to inspire and engage people in lifelong health, one step at a time.&nbsp;&nbsp; Job overview: We are looking for an experienced, enthusiastic, and motivated individual to join us as Senior Employment Counsel. | 7-9 years of experience practicing employment law, preferably with a mix of law firm and in-house experience.",,,,,,
16,greenhouse,7551558,https://job-boards.greenhouse.io/omadahealth/jobs/7551558,omadahealth,"Senior Manager, Commercial Operations",operations_manager,operations,remote,,US,"Remote, USA","This role goes beyond running models and analytics; you will define and own Omada’s commercial forecasting operating model—setting objectives, standards, methodologies, and governance that establish a single, trusted view of future demand across the enterprise. | You will work closely with Sales Operations, Finance, and our care delivery teams (coaching capacity, member support, and supply chain) to translate complex",,,,,,
17,greenhouse,7550773,https://job-boards.greenhouse.io/omadahealth/jobs/7550773,omadahealth,"Senior Manager, Health Information Management",manager,operations,onsite,,US,"Remote, USA","Omada Health is on a mission to inspire and engage people in lifelong health, one step at a time.&nbsp;&nbsp; Job overview: Omada is seeking a Senior Manager, Health Information Management (HIM), to launch and scale a new function for a healthcare provider whose services are provided primarily through asynchronous telehealth and some synchronous telehealth.&nbsp; About Omada : Omada is a well-established virtual heal",,,,,,
18,greenhouse,7562427,https://job-boards.greenhouse.io/omadahealth/jobs/7562427,omadahealth,Senior Member Growth Manager,manager,operations,remote,,US,"Remote, USA","Omada Health is on a mission to inspire and engage people in lifelong health, one step at a time.&nbsp;&nbsp; Job overview Omada’s Member Growth team is focused on the first part of Omada’s mission – to inspire people everywhere to take the first step toward lasting, healthy change. | We understand our audience, know what makes Omada different, connect these two things to tell a great story, then measure and optimize",,,,,,
19,greenhouse,7648699,https://job-boards.greenhouse.io/omadahealth/jobs/7648699,omadahealth,Senior Salesforce Administrator,systems_administrator,it_operations,remote,,US,"Remote, USA","Omada Health is on a mission to inspire and engage people in lifelong health, one step at a time.&nbsp; Job overview: The Senior Salesforce Administrator is a core technical contributor on the Business Systems team, responsible for configuring, automating, and continuously optimizing Omada’s Salesforce ecosystem to support business operations. | The role partners with business systems analysts, developers, and cross-",,,,,,
20,greenhouse,7235659,https://job-boards.greenhouse.io/omadahealth/jobs/7235659,omadahealth,Senior Software Engineer,software_engineer,software_engineering,remote,,US,"Remote, USA","Omada Health is on a mission to inspire and engage people in lifelong health, one step at a time.&nbsp;&nbsp; Job Overview: Omada Health is a digital care provider that empowers people to achieve their health goals through sustainable behavioral change. | We are looking for a software engineer to help drive us forward in achieving that goal.",,,,,,
21,greenhouse,7137954,https://job-boards.greenhouse.io/omadahealth/jobs/7137954,omadahealth,Senior Software Engineer,software_engineer,software_engineering,remote,,US,"Remote, USA","Omada Health is on a mission to inspire and engage people in lifelong health, one step at a time.&nbsp;&nbsp; Job overview: Omada Health is a digital care provider that empowers people to achieve their health goals through sustainable behavioral change. | We are looking for a software engineer to help drive us forward in achieving that goal.",,,,,,
22,greenhouse,7415707,https://job-boards.greenhouse.io/omadahealth/jobs/7415707,omadahealth,Senior Systems Automation Engineer,software_engineer,software_engineering,remote,,US,"Remote, USA","In this role, you are expected to operate with a high degree of autonomy, apply strong technical depth, and consistently produce secure, resilient, and well-designed automations that scale with the business. | Assess automation requests against established prioritization criteria—including expected ROI, operational impact, compliance relevance, and alignment with automation standards—to ensure the team focuses on the",,,,,,
23,greenhouse,7395163,https://job-boards.greenhouse.io/omadahealth/jobs/7395163,omadahealth,Senior Workforce Management Analyst,operations_analyst,operations,remote,,US,"Remote, USA","Omada Health is on a mission to inspire and engage people in lifelong health, one step at a time.&nbsp;&nbsp; Job overview Care Delivery’s Capacity &amp; Analytics team is responsible for care team capacity modeling, care team scheduling, data analysis &amp; reporting, and workforce optimization in service of efficient, effective, and exceptional delivery of safe care to Omada’s members.&nbsp; Using data from enrollm",,,,,,
24,greenhouse,7567588,https://job-boards.greenhouse.io/omadahealth/jobs/7567588,omadahealth,Software Engineer II,software_engineer,software_engineering,remote,,US,"Remote, USA","Omada Health is on a mission to inspire and engage people in lifelong health, one step at a time.&nbsp;&nbsp; Job overview: Omada Health is a digital care provider that empowers people to achieve their health goals through sustainable behavioral change. | We are looking for a software engineer to help drive us forward in achieving that goal.",,,,,,
25,greenhouse,7235657,https://job-boards.greenhouse.io/omadahealth/jobs/7235657,omadahealth,"Software Engineer II, Android",software_engineer,software_engineering,remote,,US,"Remote, USA",Job overview: Omada Health is a digital care provider that empowers people to achieve their health goals through sustainable behavioral change. | We are looking for a software engineer to help drive us forward in achieving that goal.,,,,,,
26,greenhouse,7235663,https://job-boards.greenhouse.io/omadahealth/jobs/7235663,omadahealth,Staff Product Designer,product_designer,design,remote,,US,"Remote, USA","You deeply understand and can champion our users, and design solutions that are equally thoughtful, elegant, and delightful. | You are an expert communicator, and enjoy working closely with a diverse set of people to get things done.&nbsp; Our tight-knit team of designers is obsessed with helping our users to gain access to delightful, engaging, and inclusive programs for lifelong health, medical care, and behavior c",,,,,,
27,greenhouse,7611424,https://job-boards.greenhouse.io/omadahealth/jobs/7611424,omadahealth,Staff Software Engineer,software_engineer,software_engineering,remote,,US,"Remote, USA","Omada Health is on a mission to inspire and engage people in lifelong health, one step at a time.&nbsp;&nbsp; Job overview: Omada Health is a digital care provider that empowers people to achieve their health goals through sustainable behavioral change. | You’ll play a central role in re-architecting complex legacy systems, designing high-performance data pipelines (batch and real-time), and ensuring our core B2B cap",,,,,,
28,greenhouse,7381236,https://job-boards.greenhouse.io/omadahealth/jobs/7381236,omadahealth,Strategic Account Executive - Mid-Market,account_executive,sales,remote,,US,"Remote, USA",We are looking for an experienced and energetic Strategic Account Executive (SAE) who can engage our current Mid-Market customer base in partnership with our Customer Experience (CX) teams to focus on the strategic positioning of our Cardiometabolic solution and full platform upsell.&nbsp; The ideal candidate will have a proven ability to navigate complex environments and successfully sell to senior-level executives ,,,,,,
29,greenhouse,7540354,https://job-boards.greenhouse.io/omadahealth/jobs/7540354,omadahealth,Strategic Alliance Manager,alliance_manager,partnerships,remote,,US,"Remote, USA","Job overview: To achieve and accelerate our mission, we are partnering with a Strategic Alliance ecosystem that consists of health plans, PBMs, and health service providers to help us grow and scale. | Omada is a remote-first environment that allows for both remote work and in-office collaboration, when needed.",,,,,,
30,greenhouse,6718388,https://job-boards.greenhouse.io/smartsheet/jobs/6718388,smartsheet,"Account Executive, Commercial - Mid Market",account_executive,sales,remote,Chicago,US,"Chicago, IL, USA","Because when challenge meets purpose, and passion turns into progress, that’s magic at work, and it’s what we show up for everyday. | You will be a proactive and curious member of the commercial sales team, identifying growth opportunities for clients before they identify a need or gap for themselves.",,,,,,
31,greenhouse,6718395,https://job-boards.greenhouse.io/smartsheet/jobs/6718395,smartsheet,"Account Executive, Commercial - Mid Market",account_executive,sales,remote,Boston,US,"Boston, MA, USA","Because when challenge meets purpose, and passion turns into progress, that’s magic at work, and it’s what we show up for everyday. | You will be a proactive and curious member of the commercial sales team, identifying growth opportunities for clients before they identify a need or gap for themselves.",,,,,,
32,greenhouse,7644646,https://job-boards.greenhouse.io/smartsheet/jobs/7644646,smartsheet,"Account Executive, Commercial - New Business",account_executive,sales,remote,Bellevue,US,"Bellevue, WA, USA","Because when challenge meets purpose, and passion turns into progress, that’s magic at work, and it’s what we show up for everyday. | You will have a history of performance, exceeding quota attainment and winning new customers.",,,,,,
33,greenhouse,6470457,https://job-boards.greenhouse.io/smartsheet/jobs/6470457,smartsheet,Account Executive - Enterprise (Japan),account_executive,sales,remote,Tokyo,DE,"Tokyo, JPN","Smartsheet is seeking a developed sales professional to join our Sales Team as an Account Executive focused on new customer acquisition and existing customer expansion for our Enterprise territory. | You will have a history of exceeding quota attainment, winning new customer accounts, and developing customer accounts.",,,,,,
34,greenhouse,7637509,https://job-boards.greenhouse.io/smartsheet/jobs/7637509,smartsheet,"Account Executive, Enterprise - New Business",account_executive,sales,remote,Boston,US,"Boston, MA, USA","Because when challenge meets purpose, and passion turns into progress, that’s magic at work, and it’s what we show up for everyday. | We’re seeking a high‑energy Inside Sales Account Executive passionate about New Business to drive net‑new revenue and strategic expansion across Large Enterprise accounts.",,,,,,
35,greenhouse,3788031,https://job-boards.greenhouse.io/smartsheet/jobs/3788031,smartsheet,"Account Executive, SMB",account_executive,sales,remote,Boston,US,"Boston, MA, USA","Because when challenge meets purpose, and passion turns into progress, that’s magic at work, and it’s what we show up for everyday. | You will be a proactive and curious member of the commercial sales team, identifying growth opportunities for clients before they identify a need or gap for themselves.",,,,,,
36,greenhouse,7291129,https://job-boards.greenhouse.io/smartsheet/jobs/7291129,smartsheet,"Account Executive, SMB",account_executive,sales,remote,Bellevue,US,"Bellevue, WA, USA","Because when challenge meets purpose, and passion turns into progress, that’s magic at work, and it’s what we show up for everyday. | You will be a proactive and curious member of the commercial sales team, identifying growth opportunities for clients before they identify a need or gap for themselves.",,,,,,
37,greenhouse,7590172,https://job-boards.greenhouse.io/smartsheet/jobs/7590172,smartsheet,"Account Executive, Strategic Accounts - New Business",account_executive,sales,remote,Boston,US,"Boston, MA, USA","Because when challenge meets purpose, and passion turns into progress, that’s magic at work, and it’s what we show up for everyday. | Smartsheet is looking for an Account Executive &nbsp;to join our Strategic New Business Accounts team in the Enterprise organization.&nbsp; You will be responsible for increasing software sales and driving expansion across a large territory of Global 2000 Accounts.&nbsp; A proven track",,,,,,
38,greenhouse,7657151,https://job-boards.greenhouse.io/smartsheet/jobs/7657151,smartsheet,Business Development Representative,business_development_representative,sales,hybrid,Munich,DE,"Munich, DE","Smartsheet is seeking a dynamic Business Development Representative to generate sales pipeline and drive revenue growth. | You will report to the Manager, Business Development and the role is based in Munich, Germany (Hybrid DE eligible)&nbsp; You Will: Generate appointments by independently identifying companies and contacts that would be a good fit for our services and making decisions to reach out to them via emai",,,,,,
39,greenhouse,5955645,https://job-boards.greenhouse.io/smartsheet/jobs/5955645,smartsheet,Business Development Representative,business_development_representative,sales,remote,Sydney,AU,"Sydney, AU","We’re building tools that empower teams to automate the manual, uncover insights, and scale smarter. | Because when challenge meets purpose, and passion turns into progress, that’s magic at work, and it’s what we show up for everyday.",,,,,,
40,greenhouse,7547203,https://job-boards.greenhouse.io/smartsheet/jobs/7547203,smartsheet,Business NetSuite Analyst II (Remote Elegible - Costa Rica),business_systems_analyst,business_analysis,remote,San Jose,CR,"San Jose, CR","But more than that, we’re creating space– space to think big, take action, and unlock the kind of work that truly matters. | This role reports to the Manager, Enterprise Systems within Corporate IT and is based in Costa Rica.",,,,,,
41,greenhouse,7630247,https://job-boards.greenhouse.io/smartsheet/jobs/7630247,smartsheet,Client Services Director,customer_success_manager,customer_success,remote,,US,"-REMOTE, USA-","Because when challenge meets purpose, and passion turns into progress, that’s magic at work, and it’s what we show up for everyday. | This role owns the end-to-end sales cycle for Smartsheet’s Services Portfolio and drives customer value by positioning Smartsheet as a strategic partner.",,,,,,
42,greenhouse,7585064,https://job-boards.greenhouse.io/smartsheet/jobs/7585064,smartsheet,Commercial Account Executive - Danish Speaking,account_executive,sales,remote,London,GB,"London, UK","Teleworking options from any registered location in the UK (role specific) &nbsp; Get to Know Us: At Smartsheet, your ideas are heard, your potential is supported, and your contributions have real impact. | &nbsp; #LI-Remote",,,,,,
43,greenhouse,7585029,https://job-boards.greenhouse.io/smartsheet/jobs/7585029,smartsheet,Commercial Account Executive - French Speaking,account_executive,sales,hybrid,London,GB,"London, UK","This role is part of the Commercial Sales team and is based at Smartsheet in London, UK (hybrid or UK, remote eligible) and reports to a Regional Manager, Commercial Sales. | Teleworking options from any registered location in the UK (role specific) &nbsp; Get to Know Us: At Smartsheet, your ideas are heard, your potential is supported, and your contributions have real impact.",,,,,,
44,greenhouse,6286035,https://job-boards.greenhouse.io/smartsheet/jobs/6286035,smartsheet,Commercial Account Executive - Growth,account_executive,sales,hybrid,Munich,DE,"Munich, DE","Smartsheet seeks a highly motivated and results-oriented Commercial Account Executive to drive significant revenue growth within a designated geographic region within the Commercial segment (0-200 employees). | You will develop and execute strategic account plans, drive cross-selling and upselling opportunities, and ensure swift customer adoption of Smartsheet solutions.",,,,,,
45,greenhouse,7453306,https://job-boards.greenhouse.io/smartsheet/jobs/7453306,smartsheet,Corporate Counsel I,legal_counsel,legal,remote,,US,"-REMOTE, USA-","Because when challenge meets purpose, and passion turns into progress, that’s magic at work, and it’s what we show up for everyday. | We are looking for a highly capable and motivated individual with strong interpersonal skills to assist us in supporting our commercial contracting functions along with additional duties to support other parts of the business as needed.",,,,,,
46,greenhouse,7167997,https://job-boards.greenhouse.io/smartsheet/jobs/7167997,smartsheet,Data Scientist II (Hybrid in Bangalore),data_scientist,data_science,hybrid,Bangalore,IN,"Bangalore, INDIA","For over 20 years, Smartsheet has helped people and teams achieve–well, anything. | We’re building tools that empower teams to automate the manual, uncover insights, and scale smarter.",,,,,,
47,greenhouse,7578148,https://job-boards.greenhouse.io/smartsheet/jobs/7578148,smartsheet,"Director, Engineering (Hybrid in Bangalore)",software_engineer,software_engineering,hybrid,Bangalore,IN,"Bangalore, INDIA","For over 20 years, Smartsheet has helped people and teams achieve–well, anything. | We’re building tools that empower teams to automate the manual, uncover insights, and scale smarter.",,,,,,
48,greenhouse,7630792,https://job-boards.greenhouse.io/smartsheet/jobs/7630792,smartsheet,"Director, Product Design (Remote Eligible)",product_designer,design,remote,,US,"-REMOTE, USA-","Because when challenge meets purpose, and passion turns into progress, that’s magic at work, and it’s what we show up for everyday. | As the Director of Product Design, you will lead and grow a diverse and talented team of Product Designers in applying principles of design thinking to conceptualize engaging and personalized user experiences for our web and mobile apps.",,,,,,
49,greenhouse,7608763,https://job-boards.greenhouse.io/smartsheet/jobs/7608763,smartsheet,Enterprise Account Executive,account_executive,sales,remote,San Francisco,US,"San Francisco, CA, USA","Because when challenge meets purpose, and passion turns into progress, that’s magic at work, and it’s what we show up for everyday. | You will be a proactive and curious member of the enterprise sales team, identifying growth opportunities for clients before they identify a need or gap for themselves.",,,,,,
50,greenhouse,7663183,https://job-boards.greenhouse.io/smartsheet/jobs/7663183,smartsheet,Enterprise Account Executive,account_executive,sales,remote,Chicago,US,"Chicago, IL, USA","Because when challenge meets purpose, and passion turns into progress, that’s magic at work, and it’s what we show up for everyday. | You will be a proactive and curious member of the enterprise sales team, identifying growth opportunities for clients before they identify a need or gap for themselves.",,,,,,
51,greenhouse,7608802,https://job-boards.greenhouse.io/smartsheet/jobs/7608802,smartsheet,Enterprise Account Executive,account_executive,sales,remote,Los Angeles,US,"Los Angeles, CA, USA","Because when challenge meets purpose, and passion turns into progress, that’s magic at work, and it’s what we show up for everyday. | You will be a proactive and curious member of the enterprise sales team, identifying growth opportunities for clients before they identify a need or gap for themselves.",,,,,,
52,greenhouse,7584954,https://job-boards.greenhouse.io/smartsheet/jobs/7584954,smartsheet,Enterprise Account Executive,account_executive,sales,hybrid,Munich,DE,"Munich, DE","This strategic role focuses on deepening existing customer relationships and expanding Smartsheet's footprint within these key accounts. | You will develop and execute comprehensive account plans, drive cross-selling opportunities, and land new departments across the enterprise.",,,,,,
53,greenhouse,7297639,https://job-boards.greenhouse.io/smartsheet/jobs/7297639,smartsheet,Enterprise Account Executive,account_executive,sales,remote,Bellevue,US,"Bellevue, WA, USA","Because when challenge meets purpose, and passion turns into progress, that’s magic at work, and it’s what we show up for everyday. | You will be a proactive and curious member of the enterprise sales team, identifying growth opportunities for clients before they identify a need or gap for themselves.",,,,,,
54,greenhouse,7584948,https://job-boards.greenhouse.io/smartsheet/jobs/7584948,smartsheet,Enterprise Account Executive - French Speaking,account_executive,sales,hybrid,London,GB,"London, UK","This role is based at Smartsheet in London, UK (hybrid or UK, remote eligible) and reports to a Regional Director, French Sales. | Teleworking options from any registered location in the UK (role specific) &nbsp; Get to Know Us: At Smartsheet, your ideas are heard, your potential is supported, and your contributions have real impact.",,,,,,
55,greenhouse,7205498,https://job-boards.greenhouse.io/smartsheet/jobs/7205498,smartsheet,Enterprise Account Executive- Healthcare,account_executive,sales,onsite,Dallas,US,"Dallas, TX, USA","Because when challenge meets purpose, and passion turns into progress, that’s magic at work, and it’s what we show up for everyday. | You will have a history of performance in quota attainment and developing customer accounts developing customer accounts within the Healthcare and Life Sciences vertical.",,,,,,
56,greenhouse,7611311,https://job-boards.greenhouse.io/smartsheet/jobs/7611311,smartsheet,Enterprise Account Executive- Healthcare,account_executive,sales,onsite,Nashville,US,"Nashville, TN, USA","Because when challenge meets purpose, and passion turns into progress, that’s magic at work, and it’s what we show up for everyday. | You will have a history of performance in quota attainment and developing customer accounts developing customer accounts within the Healthcare and Life Sciences vertical.",,,,,,
57,greenhouse,6795378,https://job-boards.greenhouse.io/smartsheet/jobs/6795378,smartsheet,Enterprise Account Executive- SLED,account_executive,sales,onsite,Austin,US,"Austin, TX, USA","Because when challenge meets purpose, and passion turns into progress, that’s magic at work, and it’s what we show up for everyday. | You will have a history of performance in quota attainment and developing customer accounts developing customer accounts within the Higher Education or State and Local Government sector.&nbsp; This remote will cover the TOLA territory region and report to a Regional Director, Enterpris",,,,,,
58,greenhouse,7484283,https://job-boards.greenhouse.io/smartsheet/jobs/7484283,smartsheet,Enterprise Account Executive - State/Local Government,account_executive,sales,remote,Detroit,US,"Detroit, MI, USA","Because when challenge meets purpose, and passion turns into progress, that’s magic at work, and it’s what we show up for everyday. | You will have a history of performance in quota attainment and developing customer accounts developing customer accounts within the State and Local Government sector.",,,,,,
59,greenhouse,6693156,https://job-boards.greenhouse.io/smartsheet/jobs/6693156,smartsheet,Enterprise Account Executive - State/Local Government,account_executive,sales,remote,Atlanta,US,"Atlanta, GA, USA","Because when challenge meets purpose, and passion turns into progress, that’s magic at work, and it’s what we show up for everyday. | You will have a history of performance in quota attainment and developing customer accounts developing customer accounts within the State and Local Government sector.",,,,,,
60,greenhouse,7505609,https://job-boards.greenhouse.io/smartsheet/jobs/7505609,smartsheet,Enterprise Account Executive - State/Local Government,account_executive,sales,remote,Columbus,US,"Columbus, OH, USA","Because when challenge meets purpose, and passion turns into progress, that’s magic at work, and it’s what we show up for everyday. | You will have a history of performance in quota attainment and developing customer accounts developing customer accounts within the State and Local Government sector.",,,,,,
61,greenhouse,7505608,https://job-boards.greenhouse.io/smartsheet/jobs/7505608,smartsheet,Enterprise Account Executive - State/Local Government,account_executive,sales,remote,Miami,US,"Miami, FL, USA","Because when challenge meets purpose, and passion turns into progress, that’s magic at work, and it’s what we show up for everyday. | You will have a history of performance in quota attainment and developing customer accounts developing customer accounts within the State and Local Government sector.",,,,,,
62,greenhouse,7538936,https://job-boards.greenhouse.io/smartsheet/jobs/7538936,smartsheet,Enterprise Account Executive-Strategic Accounts,account_executive,sales,remote,Bellevue,US,"Bellevue, WA, USA","Because when challenge meets purpose, and passion turns into progress, that’s magic at work, and it’s what we show up for everyday. | This position will be responsible for driving executive engagement, selling solutions and delivering substantial growth in software and services bookings, with both net new and expansion customers.",,,,,,
63,greenhouse,7538940,https://job-boards.greenhouse.io/smartsheet/jobs/7538940,smartsheet,Enterprise Account Executive-Strategic Accounts,account_executive,sales,remote,San Francisco,US,"San Francisco, CA, USA","Because when challenge meets purpose, and passion turns into progress, that’s magic at work, and it’s what we show up for everyday. | This position will be responsible for driving executive engagement, selling solutions and delivering substantial growth in software and services bookings, with both net new and expansion customers.",,,,,,
64,greenhouse,6680241,https://job-boards.greenhouse.io/smartsheet/jobs/6680241,smartsheet,Enterprise Account Executive - UK Public Sector,account_executive,sales,hybrid,London,GB,"London, UK","This role is based at Smartsheet in London, UK (hybrid eligible) and reports to a Regional Manager, Commercial Sales. | Teleworking options from any registered location in the UK (role specific) &nbsp; Get to Know Us: At Smartsheet, your ideas are heard, your potential is supported, and your contributions have real impact.",,,,,,
65,greenhouse,7395150,https://job-boards.greenhouse.io/smartsheet/jobs/7395150,smartsheet,Fulfillment Operations Coordinator II,operations_specialist,operations,remote,Bangalore,IN,"Bangalore, INDIA","For over 20 years, Smartsheet has helped people and teams achieve–well, anything. | We’re building tools that empower teams to automate the manual, uncover insights, and scale smarter.",,,,,,
66,greenhouse,7592404,https://job-boards.greenhouse.io/smartsheet/jobs/7592404,smartsheet,Indirect Tax Accountant (Remote Elegible - Costa Rica),accountant,finance,remote,San Jose,CR,"San Jose, CR","But more than that, we’re creating space– space to think big, take action, and unlock the kind of work that truly matters. | We are seeking an experienced tax professional to join our growing Tax team as an Indirect Tax Accountant based in Costa Rica.",,,,,,
67,greenhouse,7647675,https://job-boards.greenhouse.io/smartsheet/jobs/7647675,smartsheet,Inside Account Executive,account_executive,sales,hybrid,Boston,US,"Boston, MA, USA","Because when challenge meets purpose, and passion turns into progress, that’s magic at work, and it’s what we show up for everyday. | We are looking for a high energy, creative Inside Account Executive to work within our largest public sector&nbsp;customers to maximize account growth.",,,,,,
68,greenhouse,7629449,https://job-boards.greenhouse.io/smartsheet/jobs/7629449,smartsheet,Inside Account Executive - Public Sector,account_executive,sales,hybrid,Boston,US,"Boston, MA, USA","Because when challenge meets purpose, and passion turns into progress, that’s magic at work, and it’s what we show up for everyday. | We are looking for a high energy, creative Inside Account Executive to work within our largest public sector&nbsp;customers to maximize account growth.",,,,,,
69,greenhouse,7629443,https://job-boards.greenhouse.io/smartsheet/jobs/7629443,smartsheet,Inside Account Executive - Public Sector,account_executive,sales,hybrid,Bellevue,US,"Bellevue, WA, USA","Because when challenge meets purpose, and passion turns into progress, that’s magic at work, and it’s what we show up for everyday. | We are looking for a high energy, creative Inside Account Executive to work within our largest public sector customers to maximize account growth.",,,,,,
70,greenhouse,7645517,https://job-boards.greenhouse.io/smartsheet/jobs/7645517,smartsheet,Inside Sales Representative,sales_representative,sales,hybrid,Sydney,AU,"Sydney, AU","We’re building tools that empower teams to automate the manual, uncover insights, and scale smarter. | Because when challenge meets purpose, and passion turns into progress, that’s magic at work, and it’s what we show up for everyday.",,,,,,
