job_indexed_id,url,title_clean,description_for_qa,gold_normalized_title,gold_role_family,gold_location_type,qa_fix_location_type,gold_location_city,qa_fix_location_city,gold_country,qa_fix_country,gold_employment_type,qa_fix_employment_type,gold_seniority,qa_fix_seniority,gold_salary_min,qa_fix_salary_min,gold_salary_max,qa_fix_salary_max,gold_salary_currency,qa_fix_salary_currency,gold_salary_period,qa_fix_salary_period,qa_status,qa_notes
1640,https://job-boards.greenhouse.io/capco/jobs/7436197,Data Engineer - Scala,"Job Title: Senior Data Engineer - Scala Job Description: The Senior Data Engineer will be responsible for designing, developing, and maintaining scalable data pipelines and building out new API integrations to support continuing increases in data volume and complexity. They will collaborate with analytics and business teams to improve data models that feed business intelligence tools, increasing data accessibility and fostering data-driven decision making across the organization. Responsibilities: Design, construct, install, test and maintain highly scalable data management systems &amp; Data",data_engineer,data_engineering,,__NO_CHANGE__,,,,,,__NO_CHANGE__,,__NO_CHANGE__,,,,,,,,__NO_CHANGE__,,
726,https://job-boards.greenhouse.io/gleanwork/jobs/4448955005,Technical Support Engineer,"About Glean: Glean is the Work AI platform that helps everyone work smarter with AI. What began as the industry’s most advanced enterprise search has evolved into a full-scale Work AI ecosystem, powering intelligent Search, an AI Assistant, and scalable AI agents on one secure, open platform. With over 100 enterprise SaaS connectors, flexible LLM choice, and robust APIs, Glean gives organizations the infrastructure to govern, scale, and customize AI across their entire business - without vendor lock-in or costly implementation cycles. At its core, Glean is redefining how enterprises find, use,",other,other,,__NO_CHANGE__,,,,,,__NO_CHANGE__,,__NO_CHANGE__,,,,,,,,__NO_CHANGE__,,
1125,https://job-boards.greenhouse.io/celonis/jobs/6659660003?gh_jid=6659660003,Finance Business Partner,"We're Celonis, the global leader in Process Intelligence technology and one of the world's fastest-growing SaaS firms. We believe there is a massive opportunity to unlock productivity by placing AI, data and intelligence at the core of business processes - and for that, we need your help. Care to join us? The Team: The GTM Finance Business Partner organization is a critical team within Celonis. The team operates in a highly visible environment to executive leadership and is a key player in setting Celonis's strategic &amp; financial objectives. The goals and objective our the GTM FInance Busin",other,other,,__NO_CHANGE__,,,,,,__NO_CHANGE__,,__NO_CHANGE__,,,,,,,,__NO_CHANGE__,,
1742,https://job-boards.greenhouse.io/capco/jobs/7613777,"Lead Solutions Architect - legacy codebases, especially C# and/or Delphi - Cloud (Toronto - Hybrid)","Lead Solutions Architect - legacy codebases, especially C# and/or Delphi - Cloud - Toronto - Hybrid Location: Toronto (Hybrid) | Practice Area: Wealth &amp; Asset Management | Type: Perma nent or Contract &nbsp; The Role &nbsp; We are seeking a highly skilled Solution Architect with strong experience in both reverse engineering existing systems and forward engineering new solutions . This role requires someone who can deeply analyze complex, often undocumented systems, extract architectural intent, and design modern, scalable solutions—independent of technology stack. Experience working with l",solutions_architect,architecture,,__NO_CHANGE__,,,,,,__NO_CHANGE__,,__NO_CHANGE__,,,,,,,,__NO_CHANGE__,,
536,https://job-boards.greenhouse.io/canonical/jobs/6072086,UX Designer - Infrastructure,"Canonical is a leading provider of open source software and operating systems to the global enterprise and technology markets. Our platform, Ubuntu, is very widely used in breakthrough enterprise initiatives such as public cloud, data science, AI, engineering innovation and IoT. Our customers include the world's leading public cloud and silicon providers, and industry leaders in many sectors. The company is a pioneer of global distributed collaboration, with 1200+ colleagues in 75+ countries and very few office based roles. Teams meet two to four times yearly in person, in interesting location",other,design,,__NO_CHANGE__,,,,,,__NO_CHANGE__,,__NO_CHANGE__,,,,,,,,__NO_CHANGE__,,
1035,https://job-boards.greenhouse.io/webflow/jobs/7550682,Senior Data Scientist,"At Webflow, we’re building the world’s leading AI-native Digital Experience Platform, and we’re doing it as a remote-first company built on trust, transparency, and a whole lot of creativity. This work takes grit, because we move fast, without ever sacrificing craft or quality. Our mission is to bring development superpowers to everyone. From entrepreneurs launching their first idea to global enterprises scaling their digital presence, we empower teams to design, launch, and optimize for the web without barriers. We believe the future of the web, and work, is more open, more creative, and more",data_scientist,data_science,,__NO_CHANGE__,,,,,,__NO_CHANGE__,,__NO_CHANGE__,,,,,,,,__NO_CHANGE__,,
622,https://job-boards.greenhouse.io/gleanwork/jobs/4632997005,"Machine Learning Engineer, Enterprise Brain","About Glean: Glean is the Work AI platform that helps everyone work smarter with AI. What began as the industry’s most advanced enterprise search has evolved into a full-scale Work AI ecosystem, powering intelligent Search, an AI Assistant, and scalable AI agents on one secure, open platform. With over 100 enterprise SaaS connectors, flexible LLM choice, and robust APIs, Glean gives organizations the infrastructure to govern, scale, and customize AI across their entire business - without vendor lock-in or costly implementation cycles. At its core, Glean is redefining how enterprises find, use,",ml_engineer,machine_learning,,__NO_CHANGE__,,,,,,__NO_CHANGE__,,__NO_CHANGE__,,,,,,,,__NO_CHANGE__,,
342,https://job-boards.greenhouse.io/canonical/jobs/6464146,Graduate Talent Scientist,"Canonical is a leading provider of open source software and operating systems to the global enterprise and technology markets. Our platform, Ubuntu, is very widely used in breakthrough enterprise initiatives such as public cloud, data science, AI, engineering innovation and IoT. Our customers include the world's leading public cloud and silicon providers, and industry leaders in many sectors. The company is a pioneer of global distributed collaboration, with 1200+ colleagues in 75+ countries and very few office based roles. Teams meet two to four times yearly in person, in interesting location",talent_analytics_specialist,hr,,__NO_CHANGE__,,,,,,__NO_CHANGE__,,__NO_CHANGE__,,,,,,,,__NO_CHANGE__,,
1915,https://job-boards.greenhouse.io/capco/jobs/7456452,Senior Full Stack Developer - COM INGLÊS - Remoto,"A Capco é uma consultoria global de tecnologia e negócios, focada no setor de serviços financeiros e energia, somos apaixonados por ajudar nossos clientes, temos 40 escritórios nas Américas, Europa e Ásia-Pacífico! Se criatividade e inovação são sua paixão, a Capco é ideal para você. Vamos te apoiar e ajudar a acelerar sua carreira! Estamos em busca de um(a) Desenvolvedor(a) Full Stack apaixonado(a) por tecnologia e inovação, com interesse em atuar em projetos que envolvam Inteligência Artificial. O profissional será responsável pelo desenvolvimento de aplicações web completas — frontend e bac",other,other,,__NO_CHANGE__,,,,,,__NO_CHANGE__,,__NO_CHANGE__,,,,,,,,__NO_CHANGE__,,
41,https://job-boards.greenhouse.io/smartsheet/jobs/7630247,Client Services Director,"For over 20 years, Smartsheet has helped people and teams achieve–well, anything. From seamless work management to smart, scalable solutions, we’ve always worked with flow. We’re building tools that empower teams to automate the manual, uncover insights, and scale smarter. But more than that, we’re creating space– space to think big, take action, and unlock the kind of work that truly matters. Because when challenge meets purpose, and passion turns into progress, that’s magic at work, and it’s what we show up for everyday. Smartsheet is looking for a high-impact Client Services Director to joi",customer_success_manager,customer_success,,__NO_CHANGE__,,,,,,__NO_CHANGE__,,__NO_CHANGE__,,,,,,,,__NO_CHANGE__,,
1263,https://job-boards.greenhouse.io/celonis/jobs/7554118003?gh_jid=7554118003,Senior SRE (Reliability Engineering),"We're Celonis, the global leader in Process Intelligence technology and one of the world's fastest-growing SaaS firms. We believe there is a massive opportunity to unlock productivity by placing AI, data and intelligence at the core of business processes - and for that, we need your help. Care to join us? The Team As a member of our Reliability Engineering team, you will play a critical role in ensuring the health, performance, and resilience of our platform. The team applies advanced software engineering and Site Reliability Engineering (SRE) principles to drive system reliability, scalabilit",site_reliability_engineer,sre,,__NO_CHANGE__,,,,,,__NO_CHANGE__,,__NO_CHANGE__,,,,,,,,__NO_CHANGE__,,
352,https://job-boards.greenhouse.io/canonical/jobs/7607749,ISV Technical Alliance Manager,"The Software Alliances team at Canonical works with leading software companies to optimize and enable their products with Ubuntu and other Canonical software, for instance our AI offerings. We develop joint product roadmaps, drive delivery, and formulate go-to-market plans, content and processes, enabling differentiated offerings and robust product life-cycle support anchored to best-in-class Canonical products. Enterprises are able to receive the benefits of open source, securely maintained, and validated solutions from cloud to edge, whether purchased from Canonical, embedded in Alliance par",alliance_manager,partnerships,,__NO_CHANGE__,,,,,,__NO_CHANGE__,,__NO_CHANGE__,,,,,,,,__NO_CHANGE__,,
256,https://job-boards.greenhouse.io/gomotive/jobs/8240269002,Technology Program Analyst II,"Who we are: Motive empowers the people who run physical operations with tools to make their work safer, more productive, and more profitable. For the first time ever, safety, operations and finance teams can manage their drivers, vehicles, equipment, and fleet related spend in a single system. Combined with industry leading AI, the Motive platform gives you complete visibility and control, and significantly reduces manual workloads by automating and simplifying tasks. Motive serves nearly 100,000 customers – from Fortune 500 enterprises to small businesses – across a wide range of industries,",program_analyst,program_management,,__NO_CHANGE__,,,,,,__NO_CHANGE__,,__NO_CHANGE__,,,,,,,,__NO_CHANGE__,,
1961,https://job-boards.greenhouse.io/capco/jobs/7592033,Technical Recruiter - Contract Hiring,"About the Team The Recruiting Team at Capco is focused on not only finding amazing talent but also providing great candidate experience. We value transparency and authenticity throughout the hiring process, and we pride ourselves on a culture that encourages you to bring your whole self to work every day. We operate in a fast-paced environment where we challenge and support one another. No two days—and no two candidates—are the same. We strive to create an engaging and inclusive experience from application to onboarding. About the Job As a Technical Recruiter with a focus on contract hiring, y",technical_recruiter,recruiting,,__NO_CHANGE__,,,,,,__NO_CHANGE__,,__NO_CHANGE__,,,,,,,,__NO_CHANGE__,,
1817,https://job-boards.greenhouse.io/capco/jobs/7530599,Principal DevOps Engineer - Azure,"Principal DevOps Engineer - Azure Location: London (Hybrid) | Practice Area: Technology &amp; Engineering | Type: Permanent Build the Future of Financial Services with Scalable, Secure DevOps Solutions The Role As a Principal DevOps Engineer at Capco, you’ll lead the design, implementation, and evolution of cloud-based platforms that transform the financial services industry. You’ll work across multi-disciplinary teams to build automation pipelines, embed modern DevOps practices, and guide engineers to deliver world-class digital solutions. We’re looking for a collaborative and hands-on engine",devops_engineer,devops,,__NO_CHANGE__,,,,,,__NO_CHANGE__,,__NO_CHANGE__,,,,,,,,__NO_CHANGE__,,
1316,https://job-boards.greenhouse.io/celonis/jobs/7618766003?gh_jid=7618766003,Summernaut Program - Legal Summer Intern,"We're Celonis, the global leader in Process Intelligence technology and one of the world's fastest-growing SaaS firms. We believe there is a massive opportunity to unlock productivity by placing AI, data and intelligence at the core of business processes - and for that, we need your help. Care to join us? The Team: The Celonis Legal team is an energetic and proactive group of experts in their field, focused on identifying, avoiding, mitigating and solving challenges within the Celonis business. We sit at the heart of the Celonis organization and are proud to be seen as valued business partners",other,legal,,__NO_CHANGE__,,,,,,__NO_CHANGE__,,__NO_CHANGE__,,,,,,,,__NO_CHANGE__,,
272,https://job-boards.greenhouse.io/canonical/jobs/5750137,Chief Revenue Officer,"Canonical is a leading provider of open source software and operating systems to the global enterprise and technology markets. Our platform, Ubuntu, is very widely used in breakthrough enterprise initiatives such as public cloud, data science, AI, engineering innovation and IoT. Our customers include the world's leading public cloud and silicon providers, and industry leaders in many sectors. The company is a pioneer of global distributed collaboration, with 1000+ colleagues in 70+ countries and very few roles based in offices. Teams meet two to four times yearly in person, in interesting loca",chief_revenue_officer,executive_leadership,,__NO_CHANGE__,,,,,,__NO_CHANGE__,,__NO_CHANGE__,,,,,,,,__NO_CHANGE__,,
1681,https://job-boards.greenhouse.io/capco/jobs/7589865,Frontend Developer - hybrid Calgary ** numerous openings at all levels **,"Create intuitive, high-performing user experiences for the future of financial services. &nbsp; At Capco,&nbsp;we’re&nbsp;driven by three core values that define who we are and how we work: Make a Difference, Be Yourself&nbsp;At&nbsp;Work, and Act&nbsp;With&nbsp;Integrity. We challenge the status quo, embrace diverse perspectives, and bring a collaborative, entrepreneurial mindset to every engagement. Our #BeYourselfAtWork culture champions authenticity and inclusivity — because we believe diverse thinking sparks innovation and&nbsp;creates&nbsp;meaningful outcomes for our clients, our people,",other,frontend,,__NO_CHANGE__,,,,,,__NO_CHANGE__,,__NO_CHANGE__,,,,,,,,__NO_CHANGE__,,
1104,https://job-boards.greenhouse.io/celonis/jobs/7628764003?gh_jid=7628764003,"Director, Corporate Development","We're Celonis, the global leader in Process Intelligence technology and one of the world's fastest-growing SaaS firms. We believe there is a massive opportunity to unlock productivity by placing AI, data and intelligence at the core of business processes - and for that, we need your help. Care to join us? The Team: Celonis’ Corporate Development team partners with leadership to identify and execute acquisitions and strategic investments to support our corporate and product strategy.&nbsp;&nbsp; The Role: The Corporate Development Director will lead the sourcing, evaluation, execution and integ",other,strategy,,__NO_CHANGE__,,,,,,__NO_CHANGE__,,__NO_CHANGE__,,,,,,,,__NO_CHANGE__,,
4,https://job-boards.greenhouse.io/found/jobs/4501664005,Telehealth Provider (MD & DO),"Found is transforming personalized weight care with an evidence-based platform that combines modern medicine, behavior change support, personalized coaching, and a supportive community. Since launching in 2019, Found has served over 250,000 patients across the U.S., making high-quality, affordable treatment more accessible while reducing healthcare costs for consumers, employers, and payors. Backed by $130M+ from top investors including Atomic, GV, WestCap, IVP, TCG, and Define Ventures, Found is redefining how personalized weight care is delivered at scale. Pippen Health, the virtual medicine",other,healthcare,,__NO_CHANGE__,,,,,,__NO_CHANGE__,,__NO_CHANGE__,,,,,,,,__NO_CHANGE__,,
1066,https://job-boards.greenhouse.io/celonis/jobs/6670319003?gh_jid=6670319003,AI Application Engineer,"We're Celonis, the global leader in Process Intelligence technology and one of the world's fastest-growing SaaS firms. We believe there is a massive opportunity to unlock productivity by placing AI, data and intelligence at the core of business processes - and for that, we need your help. Care to join us? The Team: The Celonis AI Apps Team is a young team of AI enthusiasts that builds best-in class horizontal AI Apps as well as domain-specific AI solutions. Our goal is to develop UX-centric AI capabilities in the form of Apps that can be fully customized by our customers &amp; partner ecosyste",software_engineer,software_engineering,,__NO_CHANGE__,,,,,,__NO_CHANGE__,,__NO_CHANGE__,,,,,,,,__NO_CHANGE__,,
197,https://job-boards.greenhouse.io/gomotive/jobs/7788016002,"New Business Account Executive, Mid-Market","Who we are: Motive empowers the people who run physical operations with tools to make their work safer, more productive, and more profitable. For the first time ever, safety, operations and finance teams can manage their drivers, vehicles, equipment, and fleet related spend in a single system. Combined with industry leading AI, the Motive platform gives you complete visibility and control, and significantly reduces manual workloads by automating and simplifying tasks. Motive serves nearly 100,000 customers – from Fortune 500 enterprises to small businesses – across a wide range of industries,",account_executive,sales,,__NO_CHANGE__,,,,,,__NO_CHANGE__,,__NO_CHANGE__,,,,,,,,__NO_CHANGE__,,
1552,https://job-boards.greenhouse.io/capco/jobs/4989990,Banco de Talentos - Energia,"SOBRE A CAPCO A Capco é uma consultoria global de tecnologia e negócios, focada no setor de serviços financeiros. Somos apaixonados por ajudar nossos clientes a ter sucesso em um setor em constante mudança. Estamos prospectando profissionais para vagas em Energy . Buscamos profissionais com 2 à 5 anos de experiência nas seguintes áreas: Engenharia (diversas especialidades); Administração; Análise de Sistemas; Tecnologia em Segurança; Tecnologia Industrial. &nbsp; Aplique-se aqui.&nbsp;",other,other,,__NO_CHANGE__,,,,,,__NO_CHANGE__,,__NO_CHANGE__,,,,,,,,__NO_CHANGE__,,
1023,https://job-boards.greenhouse.io/webflow/jobs/7408665,"Partner Manager, Agencies","At Webflow, we’re building the world’s leading AI-native Digital Experience Platform, and we’re doing it as a remote-first company built on trust, transparency, and a whole lot of creativity. This work takes grit, because we move fast, without ever sacrificing craft or quality. Our mission is to bring development superpowers to everyone. From entrepreneurs launching their first idea to global enterprises scaling their digital presence, we empower teams to design, launch, and optimize for the web without barriers. We believe the future of the web, and work, is more open, more creative, and more",other,other,,__NO_CHANGE__,,,,,,__NO_CHANGE__,,__NO_CHANGE__,,,,,,,,__NO_CHANGE__,,
1212,https://job-boards.greenhouse.io/celonis/jobs/7584475003?gh_jid=7584475003,Senior Consultant,"We're Celonis, the global leader in Process Intelligence technology and one of the world's fastest-growing SaaS firms. We believe there is a massive opportunity to unlock productivity by placing AI, data and intelligence at the core of business processes - and for that, we need your help. Care to join us? The Team: Celonis Services is a strategic services organization that focuses on the technical aspects of our customers' journeys, which includes Consulting Services, Academy and Customer Support. We are thought leaders with deep product, technical and domain expertise and focus on delivering",consultant,consulting,,__NO_CHANGE__,,,,,,__NO_CHANGE__,,__NO_CHANGE__,,,,,,,,__NO_CHANGE__,,
75,https://job-boards.greenhouse.io/smartsheet/jobs/7425784,People Analytics Analyst - (Hybrid in Bangalore),"For over 20 years, Smartsheet has helped people and teams achieve–well, anything. From seamless work management to smart, scalable solutions, we’ve always worked with flow. We’re building tools that empower teams to automate the manual, uncover insights, and scale smarter. But more than that, we’re creating space– space to think big, take action, and unlock the kind of work that truly matters. Because when challenge meets purpose, and passion turns into progress, that’s magic at work, and it’s what we show up for everyday. We are looking for a People Analytics Analyst to support the employee d",other,other,,__NO_CHANGE__,,,,,,__NO_CHANGE__,,__NO_CHANGE__,,,,,,,,__NO_CHANGE__,,
633,https://job-boards.greenhouse.io/gleanwork/jobs/4657395005,Partner Marketing Manager,"About Glean: Glean is the Work AI platform that helps everyone work smarter with AI. What began as the industry’s most advanced enterprise search has evolved into a full-scale Work AI ecosystem, powering intelligent Search, an AI Assistant, and scalable AI agents on one secure, open platform. With over 100 enterprise SaaS connectors, flexible LLM choice, and robust APIs, Glean gives organizations the infrastructure to govern, scale, and customize AI across their entire business - without vendor lock-in or costly implementation cycles. At its core, Glean is redefining how enterprises find, use,",other,marketing,,__NO_CHANGE__,,,,,,__NO_CHANGE__,,__NO_CHANGE__,,,,,,,,__NO_CHANGE__,,
1593,https://job-boards.greenhouse.io/capco/jobs/6368594,Business Analyst/Senior Business Analyst (Banking),"Company Overview Capco is an entrepreneurial consulting business with expertise in transformation, technology, and strategy. We specialize in banking and payment; capital markets; wealth &amp; investment management; finance, risk &amp; compliance; and technology, serving our clients from offices in leading financial centers across US, Europe and APAC. We are expanding our business rapidly across Asia (especially Malaysia). You will work on engaging projects with some of the largest banking and insurance clients in the world, projects that will deliver significant transformation and change. Bes",business_analyst,business_analysis,,__NO_CHANGE__,,,,,,__NO_CHANGE__,,__NO_CHANGE__,,,,,,,,__NO_CHANGE__,,
1068,https://job-boards.greenhouse.io/celonis/jobs/6605731003?gh_jid=6605731003,Application Product Manager - Accounts Payable,"We're Celonis, the global leader in Process Intelligence technology and one of the world's fastest-growing SaaS firms. We believe there is a massive opportunity to unlock productivity by placing AI, data and intelligence at the core of business processes - and for that, we need your help. Care to join us? The Team: The Celonis Finance team is a young team of product enthusiasts that focuses on developing best-in class Business Apps in the domain of Finance. Business Apps are purpose-built solutions created for a specific line of business, addressing most impactful pain points in their respecti",product_manager,product_management,,__NO_CHANGE__,,,,,,__NO_CHANGE__,,__NO_CHANGE__,,,,,,,,__NO_CHANGE__,,
1494,https://job-boards.greenhouse.io/kalepa/jobs/5755122004,Senior Backend Engineer – Submission Processing Team (USA),"About Kalepa: Commercial insurance is a trillion-dollar industry still run out of Microsoft Outlook. Kalepa is changing that. Kalepa is an AI Underwriting Platform built to deliver Professional-Grade AI in production &nbsp;-&nbsp; helping the world's most important insurers centralize and prioritize submission data, surface critical risk insights, and make faster, more confident decisions. Customers see meaningful improvements to both speed and portfolio quality as soon as they implement Kalepa - so much so that clients call it&nbsp; “truly an underwriter’s dream.” Kalepa is backed by leading",backend_engineer,backend,,__NO_CHANGE__,,,,,,__NO_CHANGE__,,__NO_CHANGE__,,,,,,,,__NO_CHANGE__,,
1900,https://job-boards.greenhouse.io/capco/jobs/7588671,Senior Data Engineer - GCP,"Senior Data Engineer - GCP Location: London (Hybrid) | Practice Area: Technology &amp; Engineering | Type: Permanent Shape the future of financial services through cloud-first data innovation The Role We’re looking for a GCP Senior Data Engineer to join our growing Technology &amp; Engineering team in London. You’ll work with Tier 1 financial institutions on cutting-edge transformation programmes, using your deep expertise in Google Cloud Platform to build robust, scalable data solutions. This role is ideal for engineers who thrive on innovation, take ownership of challenges, and enjoy working",data_engineer,data_engineering,,__NO_CHANGE__,,,,,,__NO_CHANGE__,,__NO_CHANGE__,,,,,,,,__NO_CHANGE__,,
235,https://job-boards.greenhouse.io/gomotive/jobs/8403604002,Senior Technical Support Engineer,"Who we are: Motive empowers the people who run physical operations with tools to make their work safer, more productive, and more profitable. For the first time ever, safety, operations and finance teams can manage their drivers, vehicles, equipment, and fleet related spend in a single system. Combined with industry leading AI, the Motive platform gives you complete visibility and control, and significantly reduces manual workloads by automating and simplifying tasks. Motive serves nearly 100,000 customers – from Fortune 500 enterprises to small businesses – across a wide range of industries,",other,other,,__NO_CHANGE__,,,,,,__NO_CHANGE__,,__NO_CHANGE__,,,,,,,,__NO_CHANGE__,,
218,https://job-boards.greenhouse.io/gomotive/jobs/8291209002,Senior Finance Operations Analyst,"Who we are: Motive empowers the people who run physical operations with tools to make their work safer, more productive, and more profitable. For the first time ever, safety, operations and finance teams can manage their drivers, vehicles, equipment, and fleet related spend in a single system. Combined with industry leading AI, the Motive platform gives you complete visibility and control, and significantly reduces manual workloads by automating and simplifying tasks. Motive serves nearly 100,000 customers – from Fortune 500 enterprises to small businesses – across a wide range of industries,",other,other,,__NO_CHANGE__,,,,,,__NO_CHANGE__,,__NO_CHANGE__,,,,,,,,__NO_CHANGE__,,
