job_indexed_id,url,title_clean,pred_normalized_title,gold_normalized_title_before,gold_normalized_title_after,pred_role_family,gold_role_family,queue_reason,review_decision,review_notes
1149,https://job-boards.greenhouse.io/celonis/jobs/6646073003?gh_jid=6646073003,Lead Supply Chain Optimization Deployment Architect - Public Sector,other,Lead Supply Chain Optimization Deployment Architect - Public Sector,other,other,other,title_still_other_after_canonicalization,,
534,https://job-boards.greenhouse.io/canonical/jobs/7043028,UX Designer - Design systems,product_designer,,,design,design,gold_vs_pred_title_mismatch,,
729,https://job-boards.greenhouse.io/gleanwork/jobs/4529580005,Technical Writer,other,Technical Writer,other,other,other,title_still_other_after_canonicalization,,
1834,https://job-boards.greenhouse.io/capco/jobs/6368592,Project Manager,manager,Project Manager,manager,operations,,missing_gold_role_family_with_canonical_title,,
966,https://job-boards.greenhouse.io/gofundme/jobs/7524144,"Senior Director, Content Risk",marketing_manager,"Senior Director, Content Risk",marketing_manager,marketing,,missing_gold_role_family_with_canonical_title,,
1999,https://job-boards.greenhouse.io/mavensecuritiesholdingltd/jobs/7582506,Quantitative Trading Analyst,other,Quantitative Trading Analyst,other,other,other,title_still_other_after_canonicalization,,
1960,https://job-boards.greenhouse.io/capco/jobs/7335064,Technical Project Manager,manager,Technical Project Manager,manager,operations,,missing_gold_role_family_with_canonical_title,,
188,https://job-boards.greenhouse.io/gomotive/jobs/5476318002,Interested in joining our team?,general_application,,,recruiting,,gold_vs_pred_title_mismatch,,
219,https://job-boards.greenhouse.io/gomotive/jobs/8384543002,Senior Insurance Partner Manager (Carriers),manager,Senior Insurance Partner Manager (Carriers),manager,operations,,missing_gold_role_family_with_canonical_title,,
1327,https://job-boards.greenhouse.io/celonis/jobs/7609061003?gh_jid=7609061003,Video Producer / Senior Video Producer,other,Video Producer / Senior Video Producer,other,other,creative_production,title_still_other_after_canonicalization,,
1985,https://job-boards.greenhouse.io/mavensecuritiesholdingltd/jobs/7400756,Compliance Manager (Regulatory Reporting),manager,Compliance Manager,manager,operations,,missing_gold_role_family_with_canonical_title,,
879,https://job-boards.greenhouse.io/grafanalabs/jobs/5777812004,Staff Product Analyst | USA | Remote,other,Staff Product Analyst,other,other,product analysis,title_still_other_after_canonicalization,,
236,https://job-boards.greenhouse.io/gomotive/jobs/8360620002,Senior Technical Support Engineer - Spanish,it_support_specialist,,,it_operations,it_operations,gold_vs_pred_title_mismatch,,
227,https://job-boards.greenhouse.io/gomotive/jobs/8365243002,Senior Role Readiness Specialist,customer_success_manager,Senior Role Readiness Specialist,customer_success_manager,customer_success,,missing_gold_role_family_with_canonical_title,,
1727,https://job-boards.greenhouse.io/capco/jobs/7557537,Junior Project Manager - (Banking),manager,Junior Project Manager,manager,operations,,missing_gold_role_family_with_canonical_title,,
1400,https://job-boards.greenhouse.io/appier/jobs/7009731,"Senior Creative Strategist (UI Design) - Hybrid, Istanbul",other,Senior Creative Strategist (UI Design),other,other,Creative and Design,title_still_other_after_canonicalization,,
1367,https://job-boards.greenhouse.io/appier/jobs/7552171,Associate Finance Manager,accountant,Assistant Manager - Financial,manager,finance,finance,gold_vs_pred_title_mismatch,,
630,https://job-boards.greenhouse.io/gleanwork/jobs/4658698005,Onboarding & Training Lead,other,Onboarding & Training Lead,other,other,other,title_still_other_after_canonicalization,,
1972,https://job-boards.greenhouse.io/capco/jobs/7577903,UI Designer (She/He/They),product_designer,,,design,design,gold_vs_pred_title_mismatch,,
1600,https://job-boards.greenhouse.io/capco/jobs/7621251,Capco Associate Talent Program - Houston Jan 2027,other,Capco Associate Talent Program - Houston Jan 2027,other,other,consulting,title_still_other_after_canonicalization,,
261,https://job-boards.greenhouse.io/gomotive/jobs/8374451002,Vehicle Coverage Engineer,software_engineer,Vehicle Coverage Engineer,software_engineer,software_engineering,,missing_gold_role_family_with_canonical_title,,
971,https://job-boards.greenhouse.io/gofundme/jobs/7531355,Senior Paid Media Manager,manager,Senior Paid Media Manager,manager,operations,,missing_gold_role_family_with_canonical_title,,
1965,https://job-boards.greenhouse.io/capco/jobs/7526505,Technical Strategy Analyst,other,Technical Strategy Analyst,other,other,other,title_still_other_after_canonicalization,,
1765,https://job-boards.greenhouse.io/capco/jobs/7377170,Management reporting analyst / SMEs,other,Management reporting analyst / SMEs,other,other,,title_still_other_after_canonicalization,,
1160,https://job-boards.greenhouse.io/celonis/jobs/7616866003?gh_jid=7616866003,"Manager, International Statutory Reporting",manager,"Manager, International Statutory Reporting",manager,operations,,missing_gold_role_family_with_canonical_title,,
1672,https://job-boards.greenhouse.io/capco/jobs/7610059,Engenheiro(a) Sênior de Data & Analytics (Microsoft Fabric & Power BI) — Marketing Analytics | Inglês,marketing_specialist,,,marketing,data_analytics,gold_vs_pred_title_mismatch,,
535,https://job-boards.greenhouse.io/canonical/jobs/7043026,UX Designer - Developer experience,product_designer,,,design,design,gold_vs_pred_title_mismatch,,
1745,https://job-boards.greenhouse.io/capco/jobs/7464308,Linux & Data Platform Administrator,data_analyst,,,data_analytics,data_analytics,gold_vs_pred_title_mismatch,,
1341,https://job-boards.greenhouse.io/thumbtack/jobs/7342995,Senior Accounts Payable Associate,other,Senior Accounts Payable Associate,other,other,,title_still_other_after_canonicalization,,
989,https://job-boards.greenhouse.io/inthepocket/jobs/7343484,Country Lead The Netherlands,other,Country Lead The Netherlands,other,other,,title_still_other_after_canonicalization,,
614,https://job-boards.greenhouse.io/gleanwork/jobs/4619527005,Head of Partnerships - EMEA,other,Head of Partnerships - EMEA,other,other,management,title_still_other_after_canonicalization,,
425,https://job-boards.greenhouse.io/canonical/jobs/5830044,Revenue Accounting Manager,manager,Revenue Accounting Manager,manager,operations,,missing_gold_role_family_with_canonical_title,,
287,https://job-boards.greenhouse.io/canonical/jobs/7566317,Design Manager (Visual),manager,Design Manager (Visual),manager,operations,,missing_gold_role_family_with_canonical_title,,
1805,https://job-boards.greenhouse.io/capco/jobs/7657704,Post Merger / Operating Model Integration Lead – Wealth & Asset Management,other,Post Merger / Operating Model Integration Lead – Wealth & Asset Management,other,other,,title_still_other_after_canonicalization,,
719,https://job-boards.greenhouse.io/gleanwork/jobs/4549560005,Technical Enablement Manager,manager,Technical Enablement Manager,manager,operations,,missing_gold_role_family_with_canonical_title,,
1639,https://job-boards.greenhouse.io/capco/jobs/7168449,Data Engineering- GCP & Python,data_analyst,Data Engineer- GCP & Python,data_engineer,data_analytics,data_engineering,gold_vs_pred_title_mismatch,,
1905,https://job-boards.greenhouse.io/capco/jobs/7559859,Senior Dev Fullstack com IA - Remoto,other,Senior Dev Fullstack with AI - Remote,other,other,Software Development,title_still_other_after_canonicalization,,
1994,https://job-boards.greenhouse.io/mavensecuritiesholdingltd/jobs/1719811,Portfolio Manager (HK),manager,Portfolio Manager,manager,operations,,missing_gold_role_family_with_canonical_title,,
906,https://job-boards.greenhouse.io/correlationone/jobs/5462269004,Lead Instructor: Cybersecurity (General Interest),other,Lead Instructor: Cybersecurity,other,other,education/training,title_still_other_after_canonicalization,,
1979,https://job-boards.greenhouse.io/mavensecuritiesholdingltd/jobs/5511938,Associate Portfolio Manager,manager,Manager,manager,operations,,missing_gold_role_family_with_canonical_title,,
1857,https://job-boards.greenhouse.io/capco/jobs/7513626,SC - Banking & Payments,other,SC - Banking & Payments,other,other,other,title_still_other_after_canonicalization,,
609,https://job-boards.greenhouse.io/gleanwork/jobs/4663833005,GSI Consulting Partner Manager,manager,Manager,manager,operations,,missing_gold_role_family_with_canonical_title,,
1820,https://job-boards.greenhouse.io/capco/jobs/7349051,Product / Domain Lead (AI + Banking domain) – Toronto - Hybrid,other,Product / Domain Lead (AI + Banking domain) – Toronto - Hybrid,other,other,,title_still_other_after_canonicalization,,
1157,https://job-boards.greenhouse.io/celonis/jobs/6268607003?gh_jid=6268607003,"Manager, Cloud Security",manager,"Manager, Cloud Security",manager,operations,,missing_gold_role_family_with_canonical_title,,
781,https://job-boards.greenhouse.io/grafanalabs/jobs/5786043004,"Observability Architect | Washington, DC | Remote",other,Observability Architect,other,other,architecture,title_still_other_after_canonicalization,,
18,https://job-boards.greenhouse.io/omadahealth/jobs/7562427,Senior Member Growth Manager,manager,Senior Member Growth Manager,manager,operations,,missing_gold_role_family_with_canonical_title,,
1839,https://job-boards.greenhouse.io/capco/jobs/6528877,Project Manager - Insurance,manager,Project Manager,manager,operations,,missing_gold_role_family_with_canonical_title,,
1675,https://job-boards.greenhouse.io/capco/jobs/6220286,Enterprise Data Modeller,data_analyst,Enterprise Data Modeller,data_analyst,data_analytics,,missing_gold_role_family_with_canonical_title,,
669,https://job-boards.greenhouse.io/gleanwork/jobs/4649589005,Senior Payroll Analyst - Shift (4 PM – 1 AM IST),other,Senior Payroll Analyst - Shift (4 PM – 1 AM IST),other,other,other,title_still_other_after_canonicalization,,
1848,https://job-boards.greenhouse.io/capco/jobs/7559857,QA Lead - Remoto,other,QA Lead,other,other,quality assurance,title_still_other_after_canonicalization,,
542,https://job-boards.greenhouse.io/gleanwork/jobs/4613925005,AI Outcomes Manager,manager,AI Outcomes Manager,manager,operations,,missing_gold_role_family_with_canonical_title,,
910,https://job-boards.greenhouse.io/correlationone/jobs/5459013004,Lead Instructor: GenAI,other,Lead Instructor,other,other,education/training,title_still_other_after_canonicalization,,
1527,https://job-boards.greenhouse.io/capco/jobs/7577053,AI Transformation Managing Principal,consultant,,,consulting,consulting,gold_vs_pred_title_mismatch,,
909,https://job-boards.greenhouse.io/correlationone/jobs/5462843004,Lead Instructor: Data Center Technician,analytics_manager,,,data_analytics,education_and_training,gold_vs_pred_title_mismatch,,
1793,https://job-boards.greenhouse.io/capco/jobs/7594322,Murex Project/ Program Lead,other,Murex Project/ Program Lead,other,other,other,title_still_other_after_canonicalization,,
1320,https://job-boards.greenhouse.io/celonis/jobs/7599062003?gh_jid=7599062003,Training Localization Intern - Japanese Speaking,localization_intern,Training Localization Intern - Japanese Speaking,localization_intern,operations,,missing_gold_role_family_with_canonical_title,,
817,https://job-boards.greenhouse.io/grafanalabs/jobs/5777605004,Senior Observability Architect | USA PST| Remote,other,Senior Observability Architect,other,other,Engineering/IT,title_still_other_after_canonicalization,,
