job_indexed_id,url,title_clean,pred_normalized_title,gold_normalized_title_before,gold_normalized_title_after,pred_role_family,gold_role_family,queue_reason,review_decision,review_notes
442,https://job-boards.greenhouse.io/canonical/jobs/7528950,Senior Design Researcher - User Science,other,other,other,other,research,title_still_other_after_canonicalization,needs_manual_rule,add design_researcher or ux_researcher canonical title
1047,https://job-boards.greenhouse.io/webflow/jobs/7589008,Senior Video Producer,other,other,other,other,other,title_still_other_after_canonicalization,needs_manual_rule,add video_producer canonical title
1541,https://job-boards.greenhouse.io/capco/jobs/7593546,Automation test Engineer,software_engineer,backend_engineer,backend_engineer,software_engineering,software_engineering,gold_vs_pred_title_mismatch,needs_manual_rule,pred and gold both weak; add qa_automation_engineer canonical rule
962,https://job-boards.greenhouse.io/gofundme/jobs/7569676,Regulatory Affairs Analyst,other,other,other,other,other,title_still_other_after_canonicalization,needs_manual_rule,add regulatory_affairs_analyst canonical title
1945,https://job-boards.greenhouse.io/capco/jobs/7613220,Solution Architect - Insurance,other,other,other,other,architecture,title_still_other_after_canonicalization,needs_manual_rule,map to solutions_architect; insurance remains context
1955,https://job-boards.greenhouse.io/capco/jobs/7578199,System & Defect Management (She/He/They),other,other,other,other,IT Management,title_still_other_after_canonicalization,needs_manual_rule,ambiguous QA/defect-management role; needs explicit rule
1745,https://job-boards.greenhouse.io/capco/jobs/7464308,Linux & Data Platform Administrator,data_analyst,data_analyst,data_analyst,data_analytics,,missing_gold_role_family_with_canonical_title,needs_manual_rule,pred data_analyst is wrong; add platform/systems administrator rule
255,https://job-boards.greenhouse.io/gomotive/jobs/6533318002,Technical Support Specialist - Spanish,it_support_specialist,technical_support_specialist,technical_support_specialist,it_operations,it_operations,gold_vs_pred_title_mismatch,reject,use pred it_support_specialist; language should stay separate
1128,https://job-boards.greenhouse.io/celonis/jobs/7614464003?gh_jid=7614464003,Global Events (Senior) Specialist,other,other,other,other,Marketing/Events,title_still_other_after_canonicalization,needs_manual_rule,add events_specialist canonical title
1220,https://job-boards.greenhouse.io/celonis/jobs/7570041003?gh_jid=7570041003,Senior Data Analytics and Supply Chain Transformation - Automotive / Manufacturing,data_analyst,consultant,consultant,data_analytics,data_analytics,gold_vs_pred_title_mismatch,needs_manual_rule,pred and gold disagree; add consulting/analytics transformation rule
509,https://job-boards.greenhouse.io/canonical/jobs/7214510,Talent Scientist - Graduate Lead,talent_analytics_specialist,talent_analytics_specialist,talent_analytics_specialist,hr,,missing_gold_role_family_with_canonical_title,accept,canonical title ok; fill gold_role_family from pred hr
1823,https://job-boards.greenhouse.io/capco/jobs/7653279,Product Owner (Agile/Scrum),other,other,other,other,product_management,title_still_other_after_canonicalization,needs_manual_rule,add product_owner canonical title
995,https://job-boards.greenhouse.io/levio/jobs/8425939002,HRIS PMO Coordinator,other,other,other,other,other,title_still_other_after_canonicalization,needs_manual_rule,add hris_coordinator or program_coordinator mapping
176,https://job-boards.greenhouse.io/gomotive/jobs/8382162002,Field Marketing Specialist,marketing_specialist,field_marketing_specialist,field_marketing_specialist,marketing,marketing,gold_vs_pred_title_mismatch,needs_manual_rule,pred marketing_specialist too broad; add field_marketing_specialist rule
185,https://job-boards.greenhouse.io/gomotive/jobs/8387980002,Instructional Designer,other,other,other,other,other,title_still_other_after_canonicalization,needs_manual_rule,add instructional_designer canonical title
1232,https://job-boards.greenhouse.io/celonis/jobs/7530137003?gh_jid=7530137003,"Senior Manager, Executive Programs",manager,manager,manager,operations,,missing_gold_role_family_with_canonical_title,needs_manual_rule,manager too generic; add program_manager/executive_programs rule
1972,https://job-boards.greenhouse.io/capco/jobs/7577903,UI Designer (She/He/They),product_designer,,,design,design,gold_vs_pred_title_mismatch,needs_manual_rule,pred product_designer too broad; add ui_designer rule
342,https://job-boards.greenhouse.io/canonical/jobs/6464146,Graduate Talent Scientist,talent_analytics_specialist,talent_analytics_specialist,talent_analytics_specialist,hr,,missing_gold_role_family_with_canonical_title,accept,canonical title ok; fill gold_role_family from pred hr
377,https://job-boards.greenhouse.io/canonical/jobs/6177790,MAAS Data Center Infrastructure Engineer (Toronto area),analytics_engineer,,,data_analytics,engineering,gold_vs_pred_title_mismatch,needs_manual_rule,pred analytics_engineer is wrong; add infrastructure_engineer rule
468,https://job-boards.greenhouse.io/canonical/jobs/5881447,Software Architect - Containers / Virtualisation,other,other,other,other,architecture,title_still_other_after_canonicalization,needs_manual_rule,add software_architect canonical title
253,https://job-boards.greenhouse.io/gomotive/jobs/6903824002,Technical Support Engineer,it_support_specialist,technical_support_engineer,technical_support_engineer,it_operations,it_operations,gold_vs_pred_title_mismatch,needs_manual_rule,pred and gold are near-duplicates; standardize to one support title rule
535,https://job-boards.greenhouse.io/canonical/jobs/7043026,UX Designer - Developer experience,product_designer,,,design,design,gold_vs_pred_title_mismatch,needs_manual_rule,pred product_designer too broad; add ux_designer rule
537,https://job-boards.greenhouse.io/canonical/jobs/5326986,Visual Designer,other,other,other,other,design,title_still_other_after_canonicalization,needs_manual_rule,add visual_designer canonical title
536,https://job-boards.greenhouse.io/canonical/jobs/6072086,UX Designer - Infrastructure,product_designer,,,design,design,gold_vs_pred_title_mismatch,needs_manual_rule,pred product_designer too broad; add ux_designer rule
410,https://job-boards.greenhouse.io/canonical/jobs/7490812,Public Cloud Enablement Professional,other,other,other,other,other,title_still_other_after_canonicalization,needs_manual_rule,cloud enablement role unclear in current schema
1826,https://job-boards.greenhouse.io/capco/jobs/7348649,Product Owner (Specialty Insurance) - Product & Experience,other,other,other,other,product_management,title_still_other_after_canonicalization,needs_manual_rule,add product_owner canonical title
540,https://job-boards.greenhouse.io/gleanwork/jobs/4656031005,Accounting Apprentice,other,other,other,other,other,title_still_other_after_canonicalization,needs_manual_rule,add accounting_apprentice or accountant trainee mapping
348,https://job-boards.greenhouse.io/canonical/jobs/4551832,Information Systems - Open Source Technical Architect,other,other,other,other,technical_architect,title_still_other_after_canonicalization,accept,pred technical_architect is acceptable; align gold_after to pred
1367,https://job-boards.greenhouse.io/appier/jobs/7552171,Associate Finance Manager,accountant,manager,manager,finance,finance,gold_vs_pred_title_mismatch,needs_manual_rule,pred accountant and gold manager both weak; add finance_manager rule
1973,https://job-boards.greenhouse.io/capco/jobs/7297411,Validation & Prod Testing,other,other,other,other,other,title_still_other_after_canonicalization,needs_manual_rule,add validation_engineer or qa_analyst rule
895,https://job-boards.greenhouse.io/grafanalabs/jobs/5728176004,Strategic Channel Manager | Japan | Remote,manager,manager,manager,operations,,missing_gold_role_family_with_canonical_title,needs_manual_rule,manager too generic; add channel_manager rule
941,https://job-boards.greenhouse.io/nansen/jobs/5678529004,Head of BD Staking - NYC,other,other,other,other,Business Development,title_still_other_after_canonicalization,needs_manual_rule,add business_development or partnerships rule for staking domain
1132,https://job-boards.greenhouse.io/celonis/jobs/6313846003?gh_jid=6313846003,Head of Industry - Banking,industry_lead,industry_lead,industry_lead,sales,,missing_gold_role_family_with_canonical_title,accept,canonical title ok; fill gold_role_family from pred sales
1792,https://job-boards.greenhouse.io/capco/jobs/7553881,Murex Credit Risk SME,other,other,other,other,other,title_still_other_after_canonicalization,needs_manual_rule,add credit_risk specialist/SME mapping
1947,https://job-boards.greenhouse.io/capco/jobs/7267324,SPO Offshore Team Lead,other,other,other,other,other,title_still_other_after_canonicalization,needs_manual_rule,team lead too ambiguous; needs contextual rule
731,https://job-boards.greenhouse.io/gleanwork/jobs/4657292005,Website Designer,other,other,other,other,other,title_still_other_after_canonicalization,needs_manual_rule,add web_designer canonical title
1158,https://job-boards.greenhouse.io/celonis/jobs/6583519003?gh_jid=6583519003,"Manager, Cloud Security",manager,manager,manager,operations,,missing_gold_role_family_with_canonical_title,needs_manual_rule,manager too generic; add cloud_security_manager rule
948,https://job-boards.greenhouse.io/gofundme/jobs/7460504,"Director, Customer Care",other,other,other,other,management,title_still_other_after_canonicalization,needs_manual_rule,add customer_care_director or customer_support_director
992,https://job-boards.greenhouse.io/inthepocket/jobs/7102192,Team Lead,other,other,other,other,other,title_still_other_after_canonicalization,needs_manual_rule,too generic; requires contextual rule
1396,https://job-boards.greenhouse.io/appier/jobs/1510668,"Sales Manager(IC, Hunter), Ad Cloud",sales_representative,,,sales,sales,gold_vs_pred_title_mismatch,needs_manual_rule,pred sales_representative too broad; add sales_manager rule
1522,https://job-boards.greenhouse.io/capco/jobs/7649251,AI Product Analyst | Bank,other,other,other,other,other,title_still_other_after_canonicalization,needs_manual_rule,add product_analyst canonical title
1831,https://job-boards.greenhouse.io/capco/jobs/7532969,Programme Manager (Principal Consultant) - Financial Services,manager,manager,manager,operations,,missing_gold_role_family_with_canonical_title,needs_manual_rule,manager too generic; add program_manager or consulting rule
714,https://job-boards.greenhouse.io/gleanwork/jobs/4624272005,Talent Sourcer,other,other,other,other,other,title_still_other_after_canonicalization,needs_manual_rule,add talent_sourcer canonical title
354,https://job-boards.greenhouse.io/canonical/jobs/6642933,Junior Ads Specialist,other,other,other,other,marketing,title_still_other_after_canonicalization,needs_manual_rule,add ads_specialist canonical title
1993,https://job-boards.greenhouse.io/mavensecuritiesholdingltd/jobs/2453640,Portfolio Manager - Generalist - Fundamental Long Short Equities (HK),manager,manager,manager,operations,,missing_gold_role_family_with_canonical_title,needs_manual_rule,manager too generic; add portfolio_manager rule
1677,https://job-boards.greenhouse.io/capco/jobs/6856413,Executive Director | Insurance (Transformation Consulting),other,other,other,other,other,title_still_other_after_canonicalization,needs_manual_rule,add consulting_director or transformation_consulting rule
1978,https://job-boards.greenhouse.io/mavensecuritiesholdingltd/jobs/7208381,Amsterdam Trader Summer Internship 2026,other,other,other,other,finance/trading,title_still_other_after_canonicalization,needs_manual_rule,add trading_intern canonical title
783,https://job-boards.greenhouse.io/grafanalabs/jobs/5796016004,People Technology Analyst | EST or CST USA | Remote,other,other,other,other,analyst,title_still_other_after_canonicalization,needs_manual_rule,add people_technology_analyst canonical title
1387,https://job-boards.greenhouse.io/appier/jobs/6967119,Quality Assurance Intern,other,other,other,other,other,title_still_other_after_canonicalization,needs_manual_rule,add qa_intern canonical title
942,https://job-boards.greenhouse.io/nansen/jobs/5783711004,Product Analyst,other,other,other,other,product management,title_still_other_after_canonicalization,needs_manual_rule,add product_analyst canonical title
879,https://job-boards.greenhouse.io/grafanalabs/jobs/5777812004,Staff Product Analyst | USA | Remote,other,other,other,other,product analysis,title_still_other_after_canonicalization,needs_manual_rule,add product_analyst canonical title
1980,https://job-boards.greenhouse.io/mavensecuritiesholdingltd/jobs/7556228,Campus Recruitment Coordinator,other,other,other,other,other,title_still_other_after_canonicalization,needs_manual_rule,add recruiting_coordinator canonical title
1602,https://job-boards.greenhouse.io/capco/jobs/7191275,Capco Summer Internship Program - Dallas Summer 2026,other,other,other,other,other,title_still_other_after_canonicalization,needs_manual_rule,add internship_program or general_application internship rule
414,https://job-boards.greenhouse.io/canonical/jobs/4536726,Python Engineer - Data Center Hardware Integration (Taipei),analytics_engineer,,,data_analytics,software_engineering,gold_vs_pred_title_mismatch,needs_manual_rule,pred analytics_engineer is wrong; add hardware/data-center engineer rule
1846,https://job-boards.greenhouse.io/capco/jobs/7656698,QA Automation Tester (5 days on-site) - All levels,other,other,other,other,Engineering and Technical,title_still_other_after_canonicalization,needs_manual_rule,add qa_automation_engineer or tester rule
625,https://job-boards.greenhouse.io/gleanwork/jobs/4667085005,"Manager, AI Outcomes",manager,manager,manager,operations,,missing_gold_role_family_with_canonical_title,needs_manual_rule,manager too generic; add ai outcomes/program/product rule
1776,https://job-boards.greenhouse.io/capco/jobs/7362581,Managing Principal - Institutional Payments Lead,consultant,,,consulting,consulting,gold_vs_pred_title_mismatch,accept,pred consultant is acceptable; align gold_role_family to consulting
